Rank,Feature,Importance,Normalized Score,Feature Description
1,charge_approved_pct_lag1d_7d,17461315.61,31.83%,percentage of approved charges in the past 7 days
2,delinquent_cnt_lag1d_14d,5103713.235,9.30%,count of delinquents in the past 14 days
3,charge_approved_pct_lag1d_14d,3158263.71,5.64%,percentage of approved charges in the past 14 days
4,delinquent_cnt_dpd_gte3_lag1d_42d,2956859.889,5.28%,count of delinquents that are 3+ dpd in the past 42 days
5,delinquent_amt_max_lag1d_7d,2184601.472,3.90%,max amount of delinquent in the past 7 days
6,delinquent_cnt_dpd_gte7_lag1d_3m,1903520.626,3.40%,count of delinquents that are 7+ dpd in the past 3 months
7,credit_utilization_lag1d,1734579.738,3.10%,ratio of credit utilization
8,delinquent_cnt_dpd_gte7_lag1d_30d,1580484.437,2.82%,count of delinquents that are 7+ dpd in the past 30 days
9,paid_amt_sum_lag1d_36m,858791.4555,1.53%,sum of amounts paid in the past 36 months
10,retry_charge_amt_pct_lag1d_7d,800131.4155,1.43%,percentage of retried charges in the past 7 days
11,delinquent_cnt_dpd_gte14_lag1d_60d,658639.7307,1.18%,count of delinquents that are 14+ dpd in the past 60 days
12,ontime_amt_sum_lag1d_24m,635342.7077,1.14%,sum of amounts paid ontime in the past 24 months
13,retry_charge_pct_lag1d_36m,617254.4767,1.10%,percentage of retried charges in the past 36 months
14,outstanding_amt_lag1d,494515.5504,0.88%,current outstanding amount
15,late_amt_sum_lag1d_36m,485693.8921,0.87%,sum of amounts paid late in the past 36 months
16,delinquent_cnt_dpd_gte14_lag1d_6m,484929.6971,0.87%,count of delinquents that are 14+ dpd in the past 6 months
17,exposure_limit_lag1d,389389.3204,0.70%,latest exposure limit as of the previous day
18,paid_amt_sum_lag1d_14d,357599.5819,0.64%,sum of installment amounts paid in the past 14 days
19,retry_charge_pct_lag1d_14d,351368.8851,0.63%,percentage of retried charges in the past 14 days
20,retry_charge_pct_lag1d_6m,315937.2176,0.56%,percentage of retried charges in the past 6 months
21,late_amt_max_lag1d_36m,310494.5766,0.55%,max installment amount paid late in the past 36 months
22,delinquent_cnt_lag1d_30d,301782.9577,0.54%,count of delinquent in the past 30 days
23,delinquent_cnt_dpd_gte7_lag1d_7d,301034.6757,0.54%,count of delinquents that are 7+ dpd in the past 7 days
24,transact_order_amt_max_lag1d_42d,282018.6404,0.50%,max transacted amount in the past 42 days
25,pr_approved_declined_amt_ratio_lag1d_36m,279535.9105,0.50%,ratio of approved to declined purchase request amounts in the past 36 months
26,charge_declined_insufficient_funds_pct_lag1d_7d,260585.2726,0.47%,percentage of charges declined due to insufficient funds in the past 7 days
